Lp.;Wybór;Nazwa jaskini;Kod;Dł.;Den.;Gł.;Przew.;Zaznacz wszystkieOdznacz wszystkie Exportuj zaznaczone 
15;;AGRESYWNA SZCZELINA;K.Bs-04.89;5.00;2.00;2.00;0.00;Szczegóły GPS
16;;AWEN LISA;K.Bs-04.41;11.40;2.50;2.50;0.00;Szczegóły
17;;BANIA W RADZIEJOWEJ;K.Bsd-01.17;24.00;9.00;9.00;0.00;Szczegóły
18;;BARDZO CIASNA SZCZELINA;K.Pr-01.38 N;4.00;0.00;0.00;0.00;Szczegóły
19;;BARDZO MAŁY SCHRON;K.Bs-02.38;2.00;0.00;0.00;0.00;Szczegóły GPS
20;;BARDZO NISKI OKAP;K.Pr-02.24;3.50;0.00;0.00;0.00;Szczegóły GPS
21;;BAWOŁA PIWNICA (SCHRONISKO L-25);K.Bn-09.50;5.00;0.00;0.00;0.00;Szczegóły
22;;BERETOWA KOLEBA;K.Bn-08.10;4.00;0.00;0.00;0.00;Szczegóły
23;;BEZDZIADZIA NORA;K.Bsd-02.30;5.00;0.00;0.00;0.00;Szczegóły
24;;BIEDNA SZTOLNIA;K.Pd-01.32 S;5.00;0.00;0.00;0.00;Szczegóły
25;;BOGDANOWY OKAP;K.Pst-01.18;1.50;0.00;0.00;0.00;Szczegóły
26;;BORSUCZA DZIURA;K.Bsd-01.15;4.00;0.00;0.00;0.00;Szczegóły
27;;BORSUCZA DZIURA;K.Bw-02.35;300.00;10.00;10.00;0.00;Szczegóły GPS
28;;BORSUCZA STUDNIA;K.Bw-02.37;3.00;2.00;2.00;0.00;Szczegóły GPS
29;;BRAMA;K.Bs-03.30;2.00;0.00;0.00;0.00;Szczegóły GPS
30;;BRAMA NA BARANIEJ;K.Bs-02.247;3.50;0.00;0.00;0.00;Szczegóły GPS
31;;BUCYNOWA NORA;K.Bsd-01.33;2.00;0.00;0.00;0.00;Szczegóły
32;;BUCZYNOWA JAMA;K.Bsd-02.06;6.00;0.00;0.00;0.00;Szczegóły
33;;CHŁODNY SCHRON;K.G-01.10;6.00;2.50;2.50;0.00;Szczegóły
34;;CHRUSTOWA SZCZELINA;K.Bs-04.120;6.00;3.00;3.00;0.00;Szczegóły GPS
35;;CHWIEJNA SZCZELINA;K.Bż-02.13;6.50;5.30;5.30;0.00;Szczegóły
36;;CIASNA NORA;K.Bs-02.43;4.00;0.00;0.00;0.00;Szczegóły GPS
37;;CIASNA SZCZELINA;K.Bm-02.20;3.00;2.50;0.00;2.50;Szczegóły GPS
38;;CIASNA SZCZELINA;K.Pw-01.13;5.20;2.60;0.00;2.60;Szczegóły
39;;CIASNA SZCZELINA W KOŚCIELCU;K.Bs-03.204;2.00;0.00;0.00;0.00;Szczegóły
40;;CIASNY SCHRON POD RASTOCZNYM;K.Bs-02.206;5.00;1.80;0.00;0.00;Szczegóły
41;;CIEMNA STUDNIA (SCHRONISKO L-28);K.Bn-09.48;4.00;4.00;4.00;0.00;Szczegóły
42;;CIEMNY SCHRON NA STOŻKU;K.Bs-01.22;2.00;0.00;0.00;0.00;Szczegóły GPS
43;;CIEPŁE SCHRONISKO W OKRĄGLICY;K.Bż-05.30;3.00;2.50;2.50;0.00;Szczegóły GPS
44;;CIOSKOWA STUDNIA;K.G-01.34;2.00;2.00;2.00;0.00;Szczegóły
45;;CISOWY SCHRON;K.Bm-02.28;2.10;0.00;0.00;0.00;Szczegóły GPS
46;;CZARCIA IZDEBKA;K.Pc-02.07 S;8.00;1.50;1.50;0.00;Szczegóły GPS
47;;CZARNA SZCZELINA;K.Pd-01.39;9.00;3.50;3.50;0.00;Szczegóły
48;;CZELUŚĆ NA MURONCE;K.Bs-02.122 X;3.50;0.00;0.00;0.00;Szczegóły GPS
49;;DĘBICKA STUDNIA I;K.Bn-09.46;26.00;6.00;6.00;0.00;Szczegóły
50;;DĘBICKA STUDNIA II;K.Bn-09.73;6.00;3.00;3.00;0.00;Szczegóły
51;;DIABLA DZIURA W BUKOWCU;K.Pr-02.01;365.00;42.50;42.50;0.00;Szczegóły GPS
52;;DIABLA KOLEBA;K.Bż-04.07;4.00;0.00;0.00;0.00;Szczegóły
53;;DIABLI OKAP;K.Bm-02.65;2.00;0.00;0.00;0.00;Szczegóły
54;;DŁUGI OKAP;K.Bn-09.60;13.00;2.50;2.50;0.00;Szczegóły
55;;DOLNA GROTA KRYSZTAŁOWA;K.Pwl-03.01;12.00;5.75;0.00;0.00;Szczegóły
